,M_atk_dice,N_def_dice,Phr,Ph,Pe,atk_tl,atk_f,def_f,def_num_ev,EV_res,atk_ev,def_ev,pe,ph
0,1,1,[0.3516 0.6484],,,True,True,True,0,0.3516,0.9375,True,[0.625 0.375],[0.9375 0.0625]
1,1,1,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[1. 0.],[0.9375 0.0625]
2,1,1,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[1. 0.],[0.9375 0.0625]
3,1,1,[0.5859 0.4141],,,True,True,False,0,0.5859,0.9375,False,[0.375 0.625],[0.9375 0.0625]
4,1,1,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[1. 0.],[0.9375 0.0625]
5,1,1,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[1. 0.],[0.9375 0.0625]
6,1,1,[0.2812 0.7188],,,False,True,True,0,0.2812,0.75,True,[0.625 0.375],[0.75 0.25]
7,1,1,[0. 1.],,,False,True,True,1,0.0,0.75,True,[1. 0.],[0.75 0.25]
8,1,1,[0. 1.],,,False,True,True,2,0.0,0.75,True,[1. 0.],[0.75 0.25]
9,1,1,[0.4688 0.5312],,,False,True,False,0,0.4688,0.75,False,[0.375 0.625],[0.75 0.25]
10,1,1,[0. 1.],,,False,True,False,1,0.0,0.75,False,[1. 0.],[0.75 0.25]
11,1,1,[0. 1.],,,False,True,False,2,0.0,0.75,False,[1. 0.],[0.75 0.25]
12,1,1,[0.2812 0.7188],,,True,False,True,0,0.2812,0.75,True,[0.625 0.375],[0.75 0.25]
13,1,1,[0. 1.],,,True,False,True,1,0.0,0.75,True,[1. 0.],[0.75 0.25]
14,1,1,[0. 1.],,,True,False,True,2,0.0,0.75,True,[1. 0.],[0.75 0.25]
15,1,1,[0.4688 0.5312],,,True,False,False,0,0.4688,0.75,False,[0.375 0.625],[0.75 0.25]
16,1,1,[0. 1.],,,True,False,False,1,0.0,0.75,False,[1. 0.],[0.75 0.25]
17,1,1,[0. 1.],,,True,False,False,2,0.0,0.75,False,[1. 0.],[0.75 0.25]
18,1,1,[0.1875 0.8125],,,False,False,True,0,0.1875,0.5,True,[0.625 0.375],[0.5 0.5]
19,1,1,[0. 1.],,,False,False,True,1,0.0,0.5,True,[1. 0.],[0.5 0.5]
20,1,1,[0. 1.],,,False,False,True,2,0.0,0.5,True,[1. 0.],[0.5 0.5]
21,1,1,[0.3125 0.6875],,,False,False,False,0,0.3125,0.5,False,[0.375 0.625],[0.5 0.5]
22,1,1,[0. 1.],,,False,False,False,1,0.0,0.5,False,[1. 0.],[0.5 0.5]
23,1,1,[0. 1.],,,False,False,False,2,0.0,0.5,False,[1. 0.],[0.5 0.5]
24,1,2,[0.1318 0.8682],,,True,True,True,0,0.1318,0.9375,True,[0.3906 0.4688 0.1406],[0.     0.9375 0.0625]
25,1,2,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.1406 0.8594 0.    ],[0.     0.9375 0.0625]
26,1,2,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[1. 0. 0.],[0.     0.9375 0.0625]
27,1,2,[0.3662 0.6338],,,True,True,False,0,0.3662,0.9375,False,[0.1406 0.4688 0.3906],[0.     0.9375 0.0625]
28,1,2,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.1406 0.8594 0.    ],[0.     0.9375 0.0625]
29,1,2,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[1. 0. 0.],[0.     0.9375 0.0625]
30,1,2,[0.1055 0.8945],,,False,True,True,0,0.1055,0.75,True,[0.3906 0.4688 0.1406],[0.   0.75 0.25]
31,1,2,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
32,1,2,[0. 1.],,,False,True,True,2,0.0,0.75,True,[1. 0. 0.],[0.   0.75 0.25]
33,1,2,[0.293 0.707],,,False,True,False,0,0.293,0.75,False,[0.1406 0.4688 0.3906],[0.   0.75 0.25]
34,1,2,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
35,1,2,[0. 1.],,,False,True,False,2,0.0,0.75,False,[1. 0. 0.],[0.   0.75 0.25]
36,1,2,[0.1055 0.8945],,,True,False,True,0,0.1055,0.75,True,[0.3906 0.4688 0.1406],[0.   0.75 0.25]
